reference,cite_ref,object,label,p,zeta,err_zeta,Z,err_Z
Heyer & Brunt (2007),Heyer2007,12CO emission,,1,0.49,0.15,0.49,0.15
Heyer & Dame (2015),Heyer2015,Taurus,Taurus,1,0.259,0,0.259,0
Heyer & Dame (2015),Heyer2015,30 MCs,30 MCs,1,0.241,0,0.241,0
Miesch & Bally (1994),Miesch1994,13CO emission,,1,0.43,0.15,0.43,0.15
Miesch & Bally (1994),Miesch1994,13CO emission,,2,0.86,0.30,0.86,0.30
Padoan et al. (2003),Padoan2003,Taurus,Taurus,1,0.4631,0,0.421,0
Padoan et al. (2003),Padoan2003,Perseus,Perseus,1,0.49678,0,0.421,0
Padoan et al. (2003),Padoan2003,Taurus,Taurus,2,0.77,0,0.719,0
Padoan et al. (2003),Padoan2003,Perseus,Perseus,2,0.83,0,0.719,0
Padoan et al. (2003),Padoan2003,Taurus,Taurus,3,1.10,0,1.004,0
Padoan et al. (2003),Padoan2003,Perseus,Perseus,3,1.18,0,1.004,0
Padon et al. (2006),Padoan2006,Perseus,Perseus,2,0.8,0.1,0.8,0.1
Roman-Duval et al. (2011),RomanDuval2011,367 MCs,$^{13}$CO J = 1-0,1,0.5,0.3,0.5,0.3
A. Zernickel (2015),Zernickel2015,NGC6334; HII region,NGC 6334,1,0.38,0,0.38,0
A. Zernickel (2015),Zernickel2015,NGC6334; HII region( [0;4]pc ),NGC 6334 ($\ell \leq$ 4 pc),1,0.483,0.006,0.483,0.006
A. Zernickel (2015),Zernickel2015,NGC6334; HII region,NGC 6334,2,0.76,0,0.76,0
A. Zernickel (2015),Zernickel2015,NGC6334; HII region( [0;4]pc ),NGC 6334 ($\ell \leq$ 4 pc),2,0.79,0.01,0.79,0.01